dataset,CL,FL,zs_mse,fs5_mse
etth1,512,96,0.364,
etth1,512,192,0.386,
etth1,512,336,0.404,
etth1,512,720,0.424,
etth2,512,96,0.277,
etth2,512,192,0.334,
etth2,512,336,0.362,
etth2,512,720,0.408,
ettm1,512,96,0.322,
ettm1,512,192,0.376,
ettm1,512,336,0.407,
ettm1,512,720,0.439,
ettm2,512,96,0.171,
ettm2,512,192,0.238,
ettm2,512,336,0.304,
ettm2,512,720,0.41,
weather,512,96,0.158,
weather,512,192,0.206,
weather,512,336,0.256,
weather,512,720,0.328,
electricity,512,96,0.166,
electricity,512,192,0.191,
electricity,512,336,0.207,
electricity,512,720,0.255,
traffic,512,96,0.514,
traffic,512,192,0.544,
traffic,512,336,0.575,
traffic,512,720,0.622,
exchange,512,96,0.116,
zafnoo,512,96,0.436,
exchange,512,192,0.253,
zafnoo,512,192,0.503,
exchange,512,336,0.428,
zafnoo,512,336,0.558,
exchange,512,720,0.954,
zafnoo,512,720,0.611,
